A,TOTAL,T,Y35-44,HLD,ME	6000 	: 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,MK	: 	21230 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,MT	1510 	1210 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,NL	14850 	11010 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,NO	10890 	9180 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,PL	369560 	339130 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,PT	25080 	19130 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,RO	609610 	506810 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,RS	70400 	: 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,SE	9850 	8580 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,SI	10440 	10390 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,SK	3640 	3640 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,UK	23480 	20320 	: 	: 	: 
A,TOTAL,T,Y40-44,HLD,AT	: 	: 	16110 	13180 	12360 
A,TOTAL,T,Y40-44,HLD,BE	: 	: 	2570 	2730 	: 
A,TOTAL,T,Y40-44,HLD,BG	: 	: 	12560 	11780 	9050 i
A,TOTAL,T,Y40-44,HLD,CH	: 	: 	6110 	2120 	: 
A,TOTAL,T,Y40-44,HLD,CY	: 	: 	1150 	1260 	1150 
A,TOTAL,T,Y40-44,HLD,CZ	: 	: 	2360 	3710 	3760 
A,TOTAL,T,Y40-44,HLD,DE	: 	: 	27720 	24630 	24230 
A,TOTAL,T,Y40-44,HLD,DK	: 	: 	2490 	2260 	: 
A,TOTAL,T,Y40-44,HLD,EE	: 	: 	1780 	990 	850 
A,TOTAL,T,Y40-44,HLD,EL	: 	: 	51210 	33030 	29670 
A,TOTAL,T,Y40-44,HLD,ES	: 	: 	80720 	72230 	52640 i
A,TOTAL,T,Y40-44,HLD,EU27_2020	: 	: 	868820 	741710 	: 
A,TOTAL,T,Y40-44,HLD,FI	: 	: 	15670 	4330 	: 
A,TOTAL,T,Y40-44,HLD,FR	: 	: 	45580 	39040 	39700 
A,TOTAL,T,Y40-44,HLD,HR	: 	: 	9610 	9630 	10040 
A,TOTAL,T,Y40-44,HLD,HU	: 	: 	38430 	19630 	14720 
A,TOTAL,T,Y40-44,HLD,IE	: 	: 	12460 	8130 	: 
A,TOTAL,T,Y40-44,HLD,IS	: 	: 	: 	150 	: 
A,TOTAL,T,Y40-44,HLD,IT	: 	: 	69190 	61750 	: 
A,TOTAL,T,Y40-44,HLD,LT	: 	: 	11330 	8060 	8580 i
A,TOTAL,T,Y40-44,HLD,LU	: 	: 	160 	150 	160 
A,TOTAL,T,Y40-44,HLD,LV	: 	: 	5610 	4680 	: 
A,TOTAL,T,Y40-44,HLD,MT	: 	: 	520 	540 	540 
A,TOTAL,T,Y40-44,HLD,NL	: 	: 	5240 	3760 	3390 
A,TOTAL,T,Y40-44,HLD,NO	: 	: 	4550 	3930 	: 
A,TOTAL,T,Y40-44,HLD,PL	: 	: 	182770 	161500 	: 
A,TOTAL,T,Y40-44,HLD,PT	: 	: 	10520 	14910 	11440 
A,TOTAL,T,Y40-44,HLD,RO	: 	: 	250530 	229540 	167880 
A,TOTAL,T,Y40-44,HLD,SE	: 	: 	4380 	3860 	3890 
A,TOTAL,T,Y40-44,HLD,SI	: 	: 	5350 	4340 	: 
A,TOTAL,T,Y40-44,HLD,SK	: 	: 	2780 	2070 	1800 
A,TOTAL,T,Y40-44,HLD,UK	: 	: 	16100 	: 	: 
A,TOTAL,T,Y45-54,HLD,AT	53640 	51210 	45940 	36400 	30530 
A,TOTAL,T,Y45-54,HLD,BE	13780 	12410 	11360 	9080 	: 
A,TOTAL,T,Y45-54,HLD,BG	68500 	47000 	38820 	27300 	23240 i
A,TOTAL,T,Y45-54,HLD,CH	20440 	: 	17240 	5710 	: 
A,TOTAL,T,Y45-54,HLD,CY	9740 	7590 	5990 	5050 	3970 
A,TOTAL,T,Y45-54,HLD,CZ	6140 	6240 	5860 	7320 	9390 
A,TOTAL,T,Y45-54,HLD,DE	109270 	106020 	98800 	77890 	62880 
A,TOTAL,T,Y45-54,HLD,DK	13800 	11870 	9430 	8250 	: 
A,TOTAL,T,Y45-54,HLD,EE	4660 	4500 	4000 	2830 	2500 
A,TOTAL,T,Y45-54,HLD,EL	163060 	169660 	159630 	115690 	100370 
A,TOTAL,T,Y45-54,HLD,ES	237040 	241610 	245550 	187480 	163920 i
A,TOTAL,T,Y45-54,HLD,EU27_2020	2737750 	2439750 	2354380 	2046690 	: 
A,TOTAL,T,Y45-54,HLD,FI	20330 	16400 	13080 	11650 	: 
A,TOTAL,T,Y45-54,HLD,FR	166990 	154410 	136490 	111540 	93490 
A,TOTAL,T,Y45-54,HLD,HR	58420 	37430 	29280 	27290 	25790 
A,TOTAL,T,Y45-54,HLD,HU	120670 	94540 	87550 	50500 	42780 
A,TOTAL,T,Y45-54,HLD,IE	34920 	35100 	32830 	25720 	: 
A,TOTAL,T,Y45-54,HLD,IS	830 	: 	: 	450 	: 
A,TOTAL,T,Y45-54,HLD,IT	338050 	218620 	241280 	203140 	: 
