A,T,TOTAL,PER,MT	19320 	14870 	15420 	10280 	12420 
A,T,TOTAL,PER,NL	217730 	193140 	172660 	175750 	185550 
A,T,TOTAL,PER,NO	130400 	124900 	107670 	82890 	: 
A,T,TOTAL,PER,PL	3871190 	3558710 	3088250 	2714030 	: 
A,T,TOTAL,PER,PT	724230 	626390 	603720 	648040 	626800 
A,T,TOTAL,PER,RO	7224680 	6577930 	6061200 	4504470 	7352200 
A,T,TOTAL,PER,RS	1487430 	: 	: 	: 	: 
A,T,TOTAL,PER,SE	149940 	130710 	129280 	124360 	121330 
A,T,TOTAL,PER,SI	211930 	200630 	196040 	194740 i	: 
A,T,TOTAL,PER,SK	93590 	80020 	79180 	64690 	56450 
A,T,TOTAL,PER,UK	458710 	431260 	426610 	: 	: 
