A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,PL	763.05 	735.41 	482.59 	428.98 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,PT	55.88 	45.79 	51.71 	40.45 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,RO	734.67 	651.67 	621.81 	598.20 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,SE	18.70 	17.75 	16.92 	15.13 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,SI	18.70 	18.48 	17.61 	16.86 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,SK	17.69 	16.48 	5.77 	4.99 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,UK	64.31 	50.84 	43.84 	44.46 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,AT	28.61 	28.51 	27.62 	27.91 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,BE	10.63 	10.11 	9.53 	8.78 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,BG	138.04 	122.55 	92.66 	62.78 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,CH	: 	: 	14.17 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,CY	11.82 	11.39 	11.36 	10.37 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,CZ	10.66 	10.17 	5.39 	7.82 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,DE	79.69 	82.43 	77.58 	83.01 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,DK	12.42 	10.61 	10.15 	10.25 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,EE	6.61 	5.26 	4.30 	3.84 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,EL	171.72 	170.08 	152.32 	169.67 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,ES	254.63 	244.15 	239.77 	223.79 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,FI	19.34 	20.14 	19.03 	15.97 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,FR	112.83 	109.13 	109.51 	97.79 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,HR	: 	39.05 	62.37 	45.89 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,HU	170.94 	167.68 	158.12 	140.91 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,IE	32.07 	33.29 	35.06 	35.58 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,IS	: 	: 	0.80 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,IT	410.46 	390.38 	385.15 	229.39 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,LT	56.34 	41.11 	36.27 	35.19 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,LU	0.49 	0.53 	0.58 	0.56 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,LV	28.13 	22.06 	17.19 	19.45 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,ME	: 	: 	12.20 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,MT	3.11 	3.53 	3.90 	3.11 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,NL	20.16 	19.08 	18.15 	17.22 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,NO	13.99 	14.16 	11.99 	11.39 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,PL	425.27 	458.12 	297.52 	344.41 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,PT	76.99 	67.58 	73.95 	59.39 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,RO	936.99 	878.31 	859.54 	839.83 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,SE	20.80 	20.28 	18.89 	17.30 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,SI	17.66 	17.67 	19.18 	20.09 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,SK	17.23 	18.24 	6.26 	6.24 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y55-64,UK	79.13 	62.72 	51.01 	50.33 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,AT	18.70 	17.80 	13.44 	12.38 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,BE	10.12 	9.39 	8.02 	7.01 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,BG	222.19 	221.89 	137.80 	93.00 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,CH	: 	: 	2.83 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,CY	12.18 	11.69 	12.51 	13.91 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,CZ	7.03 	6.76 	2.76 	5.78 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,DE	28.11 	27.33 	14.76 	17.73 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,DK	9.47 	8.87 	7.84 	9.17 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,EE	7.99 	7.28 	5.51 	5.81 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,EL	306.73 	321.15 	251.86 	240.57 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,ES	359.37 	361.35 	326.16 	370.47 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,FI	4.39 	4.16 	6.03 	5.57 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,FR	75.11 	65.80 	58.47 	54.14 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,HR	: 	78.15 	80.09 	52.49 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,HU	194.75 	171.84 	168.89 	148.15 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,IE	31.61 	31.87 	36.64 	37.71 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,IS	: 	: 	0.37 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,IT	734.95 	740.54 	615.84 	407.84 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,LT	80.66 	93.46 	73.26 	59.61 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,LU	0.41 	0.36 	0.33 	0.33 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,LV	36.93 	31.69 	25.09 	24.66 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,ME	: 	: 	16.23 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,MT	2.59 	2.79 	3.41 	2.39 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,NL	13.29 	13.27 	13.27 	14.10 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,NO	4.12 	3.87 	4.31 	5.59 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,PL	421.95 	387.90 	129.09 	138.66 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,PT	150.13 	129.62 	141.92 	131.86 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,RO	1848.97 	1761.76 	1477.72 	1514.59 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,SE	14.85 	14.67 	17.69 	19.39 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,SI	26.22 	26.29 	25.02 	23.74 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,SK	20.04 	22.02 	5.49 	4.98 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_GE65,UK	84.24 	67.53 	57.71 	59.44 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,AT	18.27 	15.66 	14.37 	13.87 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,BE	3.39 	2.59 	1.72 	1.33 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,BG	21.97 	15.05 	25.01 	15.83 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,CH	: 	: 	4.02 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,CY	1.45 	0.98 	1.01 	0.55 
